Transcript	Gene
uc002bgz.2	UBE2Q2P2
uc002bic.2	UBE2Q2P2
uc010nib.1	SSX9
uc004dpj.2	CXorf67
uc010zub.1	EFCAB8
uc010mpu.1	SPATA31B1P
uc011lec.1	SDR16C6P
uc004cpd.1	GTPBP6
uc004cpe.1	GTPBP6
uc011mgy.1	GTPBP6
uc003emg.2	EFCAB12
uc002qsd.3	A1BG
uc002qsf.1	A1BG
uc001jjh.2	A1CF
uc001jji.2	A1CF
uc001jjj.2	A1CF
uc001jjk.1	A1CF
uc009xov.2	A1CF
uc010qhn.1	A1CF
uc010qho.1	A1CF
uc002cyr.1	RBFOX1
uc002cys.2	RBFOX1
uc002cyt.2	RBFOX1
uc002cyv.1	RBFOX1
uc002cyw.2	RBFOX1
uc002cyx.2	RBFOX1
uc002cyy.2	RBFOX1
uc010buf.1	RBFOX1
uc010uxz.1	RBFOX1
uc010uya.1	RBFOX1
uc010uyb.1	RBFOX1
uc010uyc.1	RBFOX1
uc001voq.1	GGACT
uc001vor.2	GGACT
uc001vos.2	GGACT
uc001quz.3	A2ML1
uc001qva.1	A2ML1
uc001qvb.1	A2ML1
uc010sgm.1	A2ML1
uc001qvj.1	A2M
uc001qvk.1	A2M
uc009zgk.1	A2M
uc003bdb.2	A4GALT
uc010gzd.2	A4GALT
uc003ers.2	A4GNT
uc003tdz.2	NPSR1-AS1
uc003teb.1	NPSR1-AS1
uc003tek.3	NPSR1-AS1
uc010kwo.1	NPSR1-AS1
uc010kwp.1	NPSR1-AS1
uc010kwq.1	NPSR1-AS1
uc010kwx.1	NPSR1-AS1
uc010kwy.2	NPSR1-AS1
uc011kaq.1	NPSR1-AS1
uc001scr.3	AAAS
uc001scs.3	AAAS
uc001uhc.2	AACS
uc001uhd.2	AACS
uc009zyg.2	AACS
uc009zyh.2	AACS
uc009zyi.2	AACS
uc003ezc.2	AADACL2
uc010hvn.2	AADACL2
uc001aug.1	AADACL3
uc009vnn.1	AADACL3
uc001auf.2	AADACL4
uc003eze.2	AADAC
uc003isr.2	AADAT
uc003iss.2	AADAT
uc003ist.2	AADAT
uc002aqk.3	AAGAB
uc002aql.2	AAGAB
uc010uju.1	AAGAB
uc002sfp.2	AAK1
uc010fdj.1	AAK1
uc010fdk.2	AAK1
uc010fdm.1	AAK1
uc010yqm.1	AAK1
uc002vhj.2	AAMP
uc002vhk.2	AAMP
uc002vhl.2	AAMP
uc010fvo.2	AAMP
uc002jro.2	AANAT
uc010wte.1	AANAT
uc010jza.1	AARS2
uc002icc.2	AARSD1
uc002icd.2	AARSD1
uc002ice.2	AARSD1
uc002icf.2	AARSD1
uc002icg.2	AARSD1
uc002ich.2	AARSD1
uc010cyu.1	AARSD1
uc010whg.1	AARSD1
uc010whh.1	AARSD1
uc002eyn.1	AARS
uc010vlu.1	AARS
uc001pjc.1	AASDHPPT
uc001pjd.1	AASDHPPT
uc010rvn.1	AASDHPPT
uc003hbn.2	AASDH
uc003hbo.2	AASDH
uc003hbp.2	AASDH
uc003hbq.1	AASDH
uc010ihb.2	AASDH
uc010ihc.2	AASDH
uc011caa.1	AASDH
uc011cab.1	AASDH
uc003vka.2	AASS
uc003vkb.2	AASS
uc011knu.1	AASS
uc011knv.1	AASS
uc011knw.1	AASS
uc002hni.2	AATF
uc002hnj.2	AATF
uc010dhz.2	AATK
uc010dia.2	AATK
uc002czc.3	ABAT
uc002czd.3	ABAT
uc010buh.2	ABAT
uc010bui.2	ABAT
uc002jhz.2	ABCA10
uc010dfa.1	ABCA10
uc010dfb.1	ABCA10
uc010dfc.1	ABCA10
uc010wqs.1	ABCA10
uc010wqt.1	ABCA10
uc003gac.2	ABCA11P
uc003gad.2	ABCA11P
uc003gae.2	ABCA11P
uc010ibd.1	ABCA11P
uc011buv.1	ABCA11P
uc002vev.2	ABCA12
uc002vew.2	ABCA12
uc010zjn.1	ABCA12
uc003top.2	ABCA13
uc003toq.2	ABCA13
uc003tos.1	ABCA13
uc010kyr.2	ABCA13
uc010kys.1	ABCA13
uc010kyt.1	ABCA13
uc010kyu.1	ABCA13
uc002cqa.1	ABCA17P
uc002cqb.1	ABCA17P
uc002cqc.1	ABCA17P
uc004bcl.2	ABCA1
uc004bcm.2	ABCA1
uc004ckl.1	ABCA2
uc004ckm.1	ABCA2
uc004ckn.1	ABCA2
uc004cko.1	ABCA2
uc010nca.2	ABCA2
uc011mel.1	ABCA2
uc011mem.1	ABCA2
uc002cpy.1	ABCA3
uc002cpz.1	ABCA3
uc010bsk.1	ABCA3
uc010bsl.1	ABCA3
uc001dqh.2	ABCA4
uc001dqi.1	ABCA4
uc009wdp.1	ABCA4
uc010otn.1	ABCA4
uc002jib.2	ABCA5
uc002jic.2	ABCA5
uc002jid.2	ABCA5
uc002jie.2	ABCA5
uc002jif.2	ABCA5
uc002jig.2	ABCA5
uc002jih.2	ABCA5
uc010dfe.2	ABCA5
uc002jhw.1	ABCA6
uc002jhx.1	ABCA6
uc002jhy.2	ABCA6
uc002lqw.3	ABCA7
uc002lqy.2	ABCA7
uc010dsa.2	ABCA7
uc010dsb.1	ABCA7
uc010dsc.2	ABCA7
uc002jhp.2	ABCA8
uc002jhq.2	ABCA8
uc002jhr.2	ABCA8
uc002jhs.2	ABCA8
uc002jht.2	ABCA8
uc010wqq.1	ABCA8
uc010wqr.1	ABCA8
uc002jhu.2	ABCA9
uc002jhv.2	ABCA9
uc010dez.2	ABCA9
uc001htp.3	ABCB10
uc002ueo.1	ABCB11
uc010zda.1	ABCB11
uc010zdb.1	ABCB11
uc003uiz.1	ABCB1
uc003uja.1	ABCB1
uc010lei.1	ABCB1
uc011khc.1	ABCB1
uc003uiv.1	ABCB4
uc003uiw.1	ABCB4
uc003uix.1	ABCB4
uc003uiy.2	ABCB4
uc003suv.3	ABCB5
uc003suw.3	ABCB5
uc003sux.1	ABCB5
uc010kuh.2	ABCB5
uc011jyi.1	ABCB5
uc002vkc.1	ABCB6
uc010fwe.1	ABCB6
uc010zku.1	ABCB6
uc004ebz.2	ABCB7
uc004eca.2	ABCB7
uc010nls.2	ABCB7
uc010nlt.2	ABCB7
uc011mqn.1	ABCB7
uc003wii.2	ABCB8
uc003wij.3	ABCB8
uc003wik.3	ABCB8
uc003wil.3	ABCB8
uc003wim.3	ABCB8
uc010lpw.1	ABCB8
uc010lpx.2	ABCB8
uc011kvd.1	ABCB8
uc001udm.3	ABCB9
uc001udo.3	ABCB9
uc001udp.2	ABCB9
uc001udq.2	ABCB9
uc001udr.2	ABCB9
uc009zxr.2	ABCB9
uc010tai.1	ABCB9
uc010taj.1	ABCB9
uc003ouy.1	ABCC10
uc003ouz.1	ABCC10
uc010jyo.1	ABCC10
uc002eff.1	ABCC11
uc002efg.1	ABCC11
uc002efh.1	ABCC11
uc010cbg.1	ABCC11
uc010vgk.1	ABCC11
uc010vgl.1	ABCC11
uc002eey.1	ABCC12
uc002eez.1	ABCC12
uc002efa.1	ABCC12
uc002efb.1	ABCC12
uc002efc.1	ABCC12
uc002efd.1	ABCC12
uc002efe.1	ABCC12
uc010vgj.1	ABCC12
uc002yjq.2	ABCC13
uc002yjr.2	ABCC13
uc002yjs.2	ABCC13
uc010gkx.2	ABCC13
uc002del.3	ABCC1
uc010bvi.2	ABCC1
uc010bvj.2	ABCC1
uc010bvk.2	ABCC1
uc010bvl.2	ABCC1
uc010bvm.2	ABCC1
uc010bvn.2	ABCC1
uc001kqf.2	ABCC2
uc002isk.3	ABCC3
uc002isl.2	ABCC3
uc002ism.2	ABCC3
uc002isn.2	ABCC3
uc001vmd.3	ABCC4
uc001vme.2	ABCC4
uc001vmf.2	ABCC4
uc010afj.2	ABCC4
uc010afk.2	ABCC4
uc010afl.1	ABCC4
uc010afm.1	ABCC4
uc010tih.1	ABCC4
uc003fmg.2	ABCC5
uc003fmh.2	ABCC5
uc003fmi.3	ABCC5
uc010hxl.2	ABCC5
uc010hxm.2	ABCC5
uc010hxn.2	ABCC5
uc010hxo.2	ABCC5
uc011bqt.1	ABCC5
uc002dcu.2	ABCC6P2
uc002dem.2	ABCC6
uc002den.3	ABCC6
uc002deo.3	ABCC6
uc010bvo.2	ABCC6
uc010uzz.1	ABCC6
uc001mnc.2	ABCC8
uc010rcy.1	ABCC8
uc001rfg.2	ABCC9
uc001rfh.2	ABCC9
uc001rfi.1	ABCC9
uc001rfj.1	ABCC9
uc001rfk.2	ABCC9
uc001rfl.1	ABCC9
uc004fif.2	ABCD1
uc004fig.2	ABCD1
uc004fih.2	ABCD1
uc001rmb.2	ABCD2
uc001dqm.3	ABCD3
uc001dqn.3	ABCD3
uc001dqo.3	ABCD3
uc009wdr.2	ABCD3
uc010oto.1	ABCD3
uc010otp.1	ABCD3
uc001xpr.2	ABCD4
uc001xps.2	ABCD4
uc001xpt.2	ABCD4
uc001xpu.2	ABCD4
uc001xpv.2	ABCD4
uc010tur.1	ABCD4
uc003ijx.2	ABCE1
uc003ijy.2	ABCE1
uc010iot.2	ABCE1
uc003nqk.2	ABCF1
uc003nql.2	ABCF1
uc003nqm.2	ABCF1
uc010jsb.2	ABCF1
uc003wjo.1	ABCF2
uc003wjp.2	ABCF2
uc003fmz.2	ABCF3
uc003fna.2	ABCF3
uc003fnb.2	ABCF3
uc002zam.2	ABCG1
uc002zan.2	ABCG1
uc002zao.2	ABCG1
uc002zap.2	ABCG1
uc002zaq.2	ABCG1
uc002zar.2	ABCG1
uc010gpb.1	ABCG1
uc011aev.1	ABCG1
uc003hrf.2	ABCG2
uc003hrg.2	ABCG2
uc003hrh.2	ABCG2
uc003hri.1	ABCG2
uc003hrj.1	ABCG2
uc003hrk.1	ABCG2
uc001pvs.2	ABCG4
uc001pvt.1	ABCG4
uc009zar.2	ABCG4
uc002rtm.2	ABCG5
uc002rtn.2	ABCG5
uc002rto.2	ABCG5
uc002rtp.2	ABCG5
uc002rtq.2	ABCG8
uc010yoa.1	ABCG8
uc003dyk.3	ABHD10
uc011bhq.1	ABHD10
uc003tza.2	ABHD11
uc003tzb.2	ABHD11
uc003tzc.2	ABHD11
uc003tzf.2	ABHD11
uc011kfb.1	ABHD11
uc011kfc.1	ABHD11
uc001wyq.2	ABHD12B
uc001wyr.2	ABHD12B
uc001wys.2	ABHD12B
uc010any.2	ABHD12B
uc002wuq.2	ABHD12
uc002wur.2	ABHD12
uc002wus.1	ABHD12
uc002wut.1	ABHD12
uc002wuu.1	ABHD12
uc001vqq.2	ABHD13
uc003dco.2	ABHD14A
uc010hlz.2	ABHD14A
uc003dcm.2	ABHD14B
uc003dcn.2	ABHD14B
uc010hly.2	ABHD14B
uc011bdy.1	ABHD14B
uc011bdz.1	ABHD14B
uc002hed.1	ABHD15
uc002rit.2	ABHD1
uc002riu.2	ABHD1
uc002riv.2	ABHD1
uc002riw.2	ABHD1
uc002bnj.2	ABHD2
uc002bnk.2	ABHD2
uc010ups.1	ABHD2
uc002ktk.2	ABHD3
uc002ktl.2	ABHD3
uc002ktm.2	ABHD3
uc002ktn.2	ABHD3
uc002kto.2	ABHD3
uc010xao.1	ABHD3
uc001wgm.2	ABHD4
uc010tmz.1	ABHD4
uc010tna.1	ABHD4
uc010tnb.1	ABHD4
